Curve,FPR,TPR,TPR_Lower,TPR_Upper,AUC,AUC_CI_Lower,AUC_CI_Upper
Fusion,0.7336683417085427,0.9801138442356387,0.9673898248244298,0.9910394265232975,,,
Fusion,0.7386934673366834,0.9805278299222321,0.9680841065429532,0.9911351440406703,,,
Fusion,0.7437185929648241,0.9809751555104085,0.968458645709044,0.9925403943584827,,,
Fusion,0.7487437185929648,0.9814847581992371,0.969014912839693,0.9927542771935332,,,
Fusion,0.7537688442211056,0.9821226091851792,0.9691773052731024,0.9929081152325362,,,
Fusion,0.7587939698492463,0.9826783788106864,0.9693140794223827,0.99292403490744,,,
Fusion,0.7638190954773869,0.9832395128737853,0.970314019490865,0.9942654888367605,,,
Fusion,0.7688442211055276,0.9838254577478203,0.9712613212532099,0.9944237918215614,,,
Fusion,0.7738693467336684,0.9844172036859357,0.9730743243243243,0.9944860502473385,,,
Fusion,0.7788944723618091,0.984810539632943,0.9732309307566239,0.9945750452079566,,,
Fusion,0.7839195979899498,0.9852503901745737,0.973403074335815,0.9946433337569903,,,
Fusion,0.7889447236180904,0.9857055532713985,0.9741685480625601,0.9946810864244021,,,
Fusion,0.7939698492462312,0.9861575447510896,0.9751309986290657,0.9962476547842402,,,
Fusion,0.7989949748743719,0.9865315867143702,0.9759445399007255,0.9962759507053203,,,
Fusion,0.8040201005025126,0.9870534926722374,0.9772697315865154,0.9963307774727115,,,
Fusion,0.8090452261306533,0.9874816129299013,0.9778893489003735,0.9963768115942029,,,
Fusion,0.8140703517587939,0.9879633695309092,0.9782214156079855,0.9964093357271095,,,
Fusion,0.8190954773869347,0.9884900119681997,0.9782598832162867,0.9964477595958832,,,
Fusion,0.8241206030150754,0.9889788618915725,0.9788331644714623,0.9964601769911504,,,
Fusion,0.8291457286432161,0.9893698849313337,0.9794369199092766,0.9980625723959725,,,
Fusion,0.8341708542713568,0.9897488058582327,0.9803124822976265,0.9981097299996433,,,
Fusion,0.8391959798994975,0.990053386752529,0.9804955878462643,0.9981416068807528,,,
Fusion,0.8442211055276382,0.9903743455642379,0.9815829442824815,0.9981754308688914,,,
Fusion,0.8492462311557789,0.9905646382651212,0.9819168173598554,0.9981852001630763,,,
